DeliveryCustomerAccountKey,MovementDateKey,DispensedWeight,last_order_date,0,MovementDateKey_pred,Error,Abs(Error),,,Row Labels,Average of Error,Min of Error,Max of Error,Count of Error,Average of Abs(Error),Min of Abs(Error),Max of Abs(Error)
992690960,10/12/2019,55.7,8/11/2019,52.56657019,10/12/2019,5.625547242,5.625547242,,,,,,,,,,
992690960,24/01/2020,63.6,10/12/2019,83.61246504,24/01/2020,-31.46613999,31.46613999,,,,,,,,,,
992721238,29/08/2019,56.8,10/07/2019,39.28938133,29/08/2019,30.82855401,30.82855401,,,,,,,,,,
992721238,24/10/2019,88.4,29/08/2019,65.67740212,24/10/2019,25.70429625,25.70429625,,,,,,,,,,
992721238,28/11/2019,53.5,24/10/2019,37.98084607,28/11/2019,29.00776436,29.00776436,,,,,,,,,,
992721238,16/01/2020,49,28/11/2019,39.91674815,16/01/2020,18.53724868,18.53724868,,,,,,,,,,
992729448,13/08/2019,73.2,10/07/2019,72.96871473,13/08/2019,0.315963477,0.315963477,,,,,,,,,,
992729448,13/09/2019,58.2,13/08/2019,41.02481408,13/09/2019,29.51062873,29.51062873,,,,,,,,,,
992760513,21/08/2019,86,10/07/2019,22.31058612,21/08/2019,74.057458,74.057458,,,,,,,,,,
992760513,2/10/2019,43.3,21/08/2019,33.32960527,2/10/2019,23.02631576,23.02631576,,,,,,,,,,
992760513,20/11/2019,48.3,2/10/2019,47.31001644,20/11/2019,2.049655414,2.049655414,,,,,,,,,,
992760513,17/01/2020,46.6,20/11/2019,53.13330851,17/01/2020,-14.01997535,14.01997535,,,,,,,,,,
992760513,19/02/2020,23.2,17/01/2020,30.33678241,19/02/2020,-30.76199315,30.76199315,,,,,,,,,,
992761565,23/08/2019,88.1,10/07/2019,47.23028808,23/08/2019,46.39013839,46.39013839,,,,,,,,,,
992761565,15/10/2019,49.4,23/08/2019,63.27383552,15/10/2019,-28.08468729,28.08468729,,,,,,,,,,
992761565,24/12/2019,44.4,15/10/2019,59.68545029,24/12/2019,-34.42668984,34.42668984,,,,,,,,,,
992761916,9/10/2019,89.4,11/07/2019,15.00004769,9/10/2019,83.22142317,83.22142317,,,,,,,,,,
992764766,21/08/2019,56.9,10/07/2019,42.23730742,21/08/2019,25.76923124,25.76923124,,,,,,,,,,
992764766,10/10/2019,65.2,21/08/2019,59.84436722,10/10/2019,8.214160704,8.214160704,,,,,,,,,,
992764766,5/12/2019,61.5,10/10/2019,62.48291068,5/12/2019,-1.59822874,1.59822874,,,,,,,,,,
992764766,28/02/2020,59,5/12/2019,81.629831,28/02/2020,-38.35564577,38.35564577,,,,,,,,,,
992788996,21/12/2019,48.8,10/07/2019,89,21/12/2019,-82.37704918,82.37704918,,,,,,,,,,
992827378,20/08/2019,47.4,10/07/2019,45.32117363,20/08/2019,4.385709648,4.385709648,,,,,,,,,,
992827378,8/10/2019,50.5,20/08/2019,44.16601691,8/10/2019,12.54254077,12.54254077,,,,,,,,,,
992827378,13/12/2019,53.2,8/10/2019,41.36447913,13/12/2019,22.24721968,22.24721968,,,,,,,,,,
992889140,21/08/2019,57.7,11/07/2019,63.97807032,21/08/2019,-10.88053781,10.88053781,,,,,,,,,,
992889140,8/10/2019,59,21/08/2019,84.73694023,8/10/2019,-43.62193259,43.62193259,,,,,,,,,,
992889140,6/12/2019,59.7,8/10/2019,83.22452385,6/12/2019,-39.40456256,39.40456256,,,,,,,,,,
992889140,25/02/2020,89.2,6/12/2019,88.49009169,25/02/2020,0.795861339,0.795861339,,,,,,,,,,
